NAME	TITLE	SCORE	
IFIT1		1.8029411	
RPL34		1.5798455	
MTCO3P12		1.5206945	
IFI44		1.4482878	
RPS24		1.3371872	
RSAD2		1.2794497	
IGHG4		1.2471951	
OAS3		1.2439601	
MX1		1.1986845	
RPL31		1.1704266	
GIMAP7		1.1624575	
RPL7		1.1284436	
EEF1B2		1.098275	
IFIT3		1.0197128	
RPS7		1.0116605	
RPS3A		0.98648536	
IFIT2		0.98001856	
IFI6		0.9730007	
RPL23		0.9238247	
TRIM22		0.91899526	
STAT1		0.8997193	
HERC5		0.8819804	
IGHJ4		0.8735703	
RP11-290D2.6		0.8424625	
GBP5		0.812775	
ISG15		0.80853856	
TMA7		0.7961523	
IGHA2		0.7680006	
IFI44L		0.75442547	
HLA-H		0.7451949	
IGKJ5		0.6906748	
TMEM123		0.68897724	
GBP1		0.6758328	
EVI2A		0.6600435	
PARP14		0.6467758	
CLEC2B		0.6466276	
RPL9		0.6398189	
DDX5		0.62530535	
CMPK2		0.6103544	
HSP90AA1		0.5978736	
SAMD9L		0.5975179	
SAMD9		0.59138966	
TRAJ7		0.58885145	
IGHJ6		0.5831147	
TRDD3		0.58294225	
RPS4Y1		0.5762516	
TPT1		0.56861866	
DDX17		0.56377256	
IGKJ4		0.5590599	
IL2RB		0.55878323	
OAS2		0.5563522	
IGHJ3P		0.5412626	
XAF1		0.534493	
TAF7		0.5308321	
ARGLU1		0.51876265	
RPL41P5		0.51525754	
MIR5587		0.5101282	
STAT2		0.50111073	
LAP3		0.50017965	
IL7R		0.48134515	
IGHD6-25		0.47057095	
RPL26		0.47033107	
KDM5D		0.46930307	
ETS1		0.46380055	
RPL35A		0.45839536	
CLK1		0.45594457	
LPAR6		0.44327247	
RPL5		0.4398867	
IGHJ5		0.4341286	
MIR3671		0.42545623	
EPSTI1		0.41969973	
EEF1A1		0.41852307	
RSL24D1		0.41535395	
KLRF1		0.41498056	
FGL2		0.41476274	
EIF4A2		0.41372576	
RPL11		0.41236043	
NPM1		0.41219154	
RP11-686D22.10		0.41122642	
TRDJ1		0.41037798	
GBP4		0.41030487	
COMMD6		0.39915106	
DDX3Y		0.39409298	
IFIT5		0.38913387	
TRGJ1		0.38314268	
PTMA		0.3824734	
SNHG8		0.3779511	
GIMAP2		0.37626672	
RP11-488L18.4		0.37488884	
AC079325.6		0.3746666	
RP11-466H18.1		0.37279996	
RPL6		0.37200955	
OAS1		0.3708837	
TRAT1		0.37084177	
DDX60		0.36521164	
P2RY10		0.36374307	
RP11-291B21.2		0.35753787	
EIF2AK2		0.3555564	
IGHD3-22		0.35518375	
SARAF		0.35413557	
RNF213		0.35030052	
PFDN5		0.34983304	
EIF3E		0.34887215	
ITM2A		0.34778047	
UQCRB		0.346337	
RP1-151B14.9		0.3454293	
OGT		0.34510592	
HSPA7		0.34330344	
SF3B1		0.343057	
FCRL1		0.34210178	
HMGB2		0.3410163	
HSPA8		0.33714843	
SNRPGP10		0.33707014	
TRIB2		0.3354687	
TRBJ2-6		0.330349	
TRBJ2-7		0.3273756	
IGHA1		0.32384038	
RPL21		0.31856284	
TRDJ3		0.31725666	
PRKY		0.31525102	
SRP9		0.3152453	
CHMP5		0.31504104	
LEF1		0.3150228	
AC006129.2		0.31417444	
PARP12		0.31307283	
TRAV1-2		0.31194645	
CTC-246B18.10		0.3099375	
TRAV13-1		0.3073975	
NSA2		0.30643564	
LDHB		0.30430365	
ZRANB2		0.30266884	
DPM1		0.30262738	
ATP6V1G1		0.29922614	
DEK		0.29760578	
ITGA4		0.29659173	
HMGN3		0.29550272	
HNRNPDL		0.29543868	
RPL13P12		0.29383218	
PARP15		0.29352334	
IGHV1OR15-1		0.29298747	
TRGV10		0.29117292	
DDX58		0.2900395	
PNRC2		0.28884986	
MRFAP1L1		0.28818586	
MIR3939		0.2865077	
SLC38A1		0.2862423	
SNORD53		0.28481808	
IGHD3-9		0.2845906	
TRAJ23		0.284489	
SRSF11		0.28331622	
SNORD59A		0.28235167	
ZCCHC2		0.28211668	
ZC3H15		0.28002328	
GPR174		0.2793873	
MIR646		0.27926072	
GVINP1		0.27342197	
CBX3		0.2715157	
SNORD62B		0.27072644	
HNRNPA1		0.27022505	
IGKJ3		0.26990658	
ITK		0.26766548	
TRBV20-1		0.26712412	
TBC1D4		0.2663013	
GPR65		0.26543948	
S1PR1		0.26532102	
NOP58		0.26417255	
OASL		0.26168954	
MIR3176		0.25780633	
BIRC3		0.25743163	
APOL6		0.25717956	
PRKACB		0.25694385	
RASGRP1		0.25693163	
SRSF2		0.25681397	
HSP90AB1		0.25561225	
TRDV3		0.25477174	
RN7SL834P		0.25431362	
MATR3		0.25286517	
TXLNGY		0.25115436	
RNA5SP217		0.25084186	
COX7C		0.24926387	
CHURC1		0.24918996	
WARS		0.24881192	
IGHV3-73		0.24863929	
BCL2A1		0.24819964	
TXK		0.2475817	
TRAV5		0.24756898	
TCF7		0.2469964	
HLA-DQB1		0.24685319	
SH2D1A		0.24677257	
PSMA4		0.24654318	
CARD16		0.24514468	
TRDJ2		0.24502535	
MIR641		0.24494132	
TRGJP1		0.2448157	
TRAJ5		0.24472652	
PNN		0.2444715	
AC004791.2		0.24415685	
PARP9		0.24404009	
TRGV3		0.24366221	
HNRNPH1		0.2435679	
LY96		0.24294506	
RPS6		0.24237171	
PPIG		0.24206345	
ICOS		0.24131218	
SSB		0.23875798	
ANKRD49		0.23800474	
IKZF3		0.23710607	
SERPING1		0.23569556	
NELL2		0.23216918	
CD69		0.23186281	
PNISR		0.23149915	
LILRP1		0.23136048	
SRSF7		0.23133786	
KRCC1		0.23038492	
SIGLEC1		0.23003264	
HELZ2		0.22979988	
PSIP1		0.22936393	
IGHV1-2		0.2291398	
GOLGA8A		0.22794418	
KIAA1147		0.22751471	
ORM1		0.22733955	
ADGRE4P		0.22702819	
MIR1254-1		0.22690171	
RPL39		0.2267245	
HMGB1		0.22574991	
AC097713.4		0.22552589	
RPS3AP6		0.22388045	
PRPF38B		0.22335374	
COX6C		0.22328459	
PTPN22		0.22187683	
SMPD3		0.22180751	
TRBV9		0.22176594	
CNBP		0.22126712	
CD28		0.22012074	
ANXA1		0.21891211	
CCR4		0.21870281	
CD47		0.21797757	
TRBV7-6		0.21792373	
NCL		0.21779832	
RPS23		0.21697648	
POLR2K		0.21690418	
CCR7		0.21683927	
BTAF1		0.21666135	
FCMR		0.21622273	
GIMAP4		0.2160465	
RP13-297E16.4		0.2159589	
MIR186		0.2155506	
GIMAP6		0.21543178	
SPN		0.21507066	
RNU6-828P		0.21485648	
FNBP4		0.21482371	
ZFP36L2		0.21457124	
IGHV4-31		0.21329816	
ADCY7		0.21290588	
TRBV4-2		0.21281184	
TNFAIP6		0.21176226	
TRIM14		0.21174558	
N4BP2L2		0.21154037	
RP11-797A18.3		0.21123527	
DTX3L		0.21103066	
TRAJ27		0.2110128	
KRT1		0.21095826	
HAPLN3		0.21081649	
LUC7L3		0.21059929	
SBDS		0.21024404	
RECQL		0.20999709	
CXCL8		0.20985688	
DENND2D		0.20977052	
HINT1		0.20931596	
GAPT		0.20849787	
TRAV13-2		0.2070305	
MIR590		0.205948	
TTC14		0.20586099	
CREBZF		0.20574285	
HSP90B1		0.20557183	
HP1BP3		0.20551886	
SUB1		0.20449196	
SH2D1B		0.20424716	
HEATR5B		0.20278947	
CLEC2D		0.20202187	
USP9Y		0.20172568	
JUP		0.20126197	
COX7B		0.20094664	
MPEG1		0.2004772	
DHX58		0.20020735	
CTA-150C2.20		0.19986519	
SRSF6		0.19978817	
CTD-2353F22.1		0.19970334	
STT3B		0.19931427	
CCDC18-AS1		0.19908038	
FCRL6		0.1989693	
NRIR		0.1983205	
ADD3		0.19810572	
BLOC1S2		0.19800785	
FAM111A		0.19744793	
IDO1		0.19743781	
FAM8A1		0.19699302	
RP11-1094M14.5		0.1962101	
ZNF830		0.19614695	
IGHJ2P		0.19544896	
FCGR2C		0.19531919	
PFDN4		0.19516952	
PDE7A		0.19495848	
RBM39		0.19484188	
AC006026.13		0.19481455	
UFM1		0.19415584	
CARD11		0.19390704	
SAMHD1		0.19383349	
ALOX15		0.19368316	
TRAM1		0.19353487	
TCEB1P19		0.19334523	
TRGV7		0.19274294	
ATP8B2		0.19257429	
GAS5		0.1920692	
EIF4B		0.19158384	
HLA-DQA1		0.1908569	
USP53		0.1904451	
RBL2		0.19030158	
PDCD10		0.190113	
ATM		0.1898654	
SNORD6		0.18947624	
CIITA		0.18936114	
GNL3		0.18915817	
RPS25		0.18915813	
BIRC2		0.18906213	
ORMDL1		0.1890156	
GPR171		0.18901323	
CEBPZ		0.18863647	
DYRK2		0.18801777	
AIMP1		0.18782148	
CMPK1		0.18703887	
IRF8		0.18700865	
TIA1		0.18681292	
TOMM7		0.18661247	
RNU6-1330P		0.18617615	
NAP1L1		0.18536559	
COMMD8		0.1846659	
HNRNPA2B1		0.18428335	
AC138623.1		0.18416685	
TRIM52		0.18378426	
PPWD1		0.18376671	
CXCL10		0.18342628	
RNF219		0.18333875	
UBA2		0.1829921	
RANBP6		0.18297601	
RBMX		0.18282785	
MRPL50		0.18263178	
SBDSP1		0.1826211	
TRAJ39		0.18193951	
SOAT2		0.18174961	
SNORD116-24		0.18168157	
ZNF22		0.18102118	
RP11-109L13.1		0.18083598	
WDR89		0.1807781	
ZBTB1		0.17982937	
GBP3		0.17954992	
RPS27L		0.1793461	
EIF2A		0.17928232	
RNU6-181P		0.1792393	
CMTR1		0.17840412	
ZNF146		0.17828445	
TUG1		0.17798598	
TRAJ6		0.17745404	
ANP32E		0.17734298	
SRP72		0.17724764	
SRSF5		0.17690022	
MS4A1		0.17678149	
TCEAL8		0.17656235	
SUCLG2		0.1758115	
SNX4		0.1756826	
RNU6-646P		0.17551346	
ZMYND11		0.17541258	
TRAV8-2		0.17531894	
ARL4C		0.1749678	
IRF7		0.17456922	
RPL22		0.17449132	
LARP7		0.1740274	
TRGV8		0.1737279	
SERPINB9		0.17296979	
MIR3192		0.17211848	
DBI		0.17208119	
KRR1		0.17133267	
DYNLL1P4		0.1710667	
MIR27B		0.17105345	
DPYSL4		0.17064312	
CD8BP		0.17025472	
ZNF302		0.16978574	
ZNF92		0.16971463	
TRAJ18		0.16930813	
BEX2		0.1692783	
SMC3		0.16925125	
IFIH1		0.16874014	
VPS13C		0.16866267	
AHNAK		0.1685604	
GPATCH11		0.16843788	
RP11-352M15.2		0.16841096	
P2RY14		0.168213	
DMTF1		0.16816217	
MIR5581		0.16764513	
USP16		0.16757789	
TRABD2A		0.16730163	
SNRPD1		0.16729057	
RSRP1		0.16704325	
HTATSF1P2		0.16663802	
ESF1		0.16638218	
CLEC4F		0.16629894	
ZBTB33		0.1659167	
KTN1		0.16557059	
PTMAP4		0.16550729	
RP11-75L1.2		0.16547363	
SNORD63		0.16509688	
LINC00402		0.16509339	
COL18A1		0.1650588	
TNFSF10		0.16477664	
IQCB1		0.16454692	
COPS2		0.16447763	
TPP2		0.16446666	
CD3G		0.1644084	
PNPT1		0.16437948	
RP11-284N8.3		0.16424702	
ZBP1		0.16420458	
DIP2A		0.1641576	
WDFY1		0.16374248	
FTH1P22		0.16365662	
